,sname,dname,cname,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12
2,Belmont Senior High,Los Angeles Unified,Los Angeles,206,102,31.0,30.39,14.0,13.73,14.0,13.73
3,Canoga Park Senior High,Los Angeles Unified,Los Angeles,227,113,54.0,47.79,18.0,15.93,18.0,15.93
5,Foshay Learning Center,Los Angeles Unified,Los Angeles,166,106,68.0,64.15,36.0,33.96,36.0,33.96
6,Mission Viejo High,Saddleback Valley Unified,Orange,562,190,161.0,84.74,138.0,72.63,132.0,69.47
9,New Open World Academy K-12,Los Angeles Unified,Los Angeles,85,68,17.0,25.0,6.0,8.82,6.0,8.82
10,Corona High,Corona-Norco Unified,Riverside,581,204,148.0,72.55,88.0,43.14,82.0,40.2
13,Animo Inglewood Charter High,Inglewood Unified,Los Angeles,145,68,45.0,66.18,30.0,44.12,29.0,42.65
15,Palo Verde High,Palo Verde Unified,Riverside,174,38,27.0,71.05,13.0,34.21,12.0,31.58
17,Apple Valley High,Apple Valley Unified,San Bernardino,551,186,150.0,80.65,70.0,37.63,67.0,36.02
18,The O'Farrell Charter,San Diego Unified,San Diego,125,64,44.0,68.75,33.0,51.56,28.0,43.75
20,Clovis East High,Clovis Unified,Fresno,584,237,161.0,67.93,103.0,43.46,94.0,39.66
22,Cesar Chavez High,Stockton Unified,San Joaquin,521,192,96.0,50.0,50.0,26.04,39.0,20.31
23,University High School Charter,Los Angeles Unified,Los Angeles,336,193,121.0,62.69,82.0,42.49,76.0,39.38
24,City of Angels,Los Angeles Unified,Los Angeles,292,23,14.0,60.87,7.0,30.43,7.0,30.43
25,New West Charter,SBE - New West Charter,Los Angeles,90,47,43.0,91.49,33.0,70.21,32.0,68.09
26,Mark Keppel High,Alhambra Unified,Los Angeles,579,269,241.0,89.59,230.0,85.5,215.0,79.93
27,Nevada Union High,Nevada Joint Union High,Nevada,353,89,78.0,87.64,64.0,71.91,62.0,69.66
28,University High,Irvine Unified,Orange,633,205,189.0,92.2,185.0,90.24,179.0,87.32
29,Westmoor High,Jefferson Union High,San Mateo,395,344,213.0,61.92,169.0,49.13,153.0,44.48
30,Pinole Valley High,West Contra Costa Unified,Contra Costa,266,249,117.0,46.99,60.0,24.1,58.0,23.29
32,William J. (Pete) Knight High,Antelope Valley Union High,Los Angeles,668,166,112.0,67.47,50.0,30.12,46.0,27.71
33,Antelope Valley High,Antelope Valley Union High,Los Angeles,454,83,37.0,44.58,9.0,10.84,8.0,9.64
34,Paramount High,Paramount Unified,Los Angeles,1135,932,352.0,37.77,185.0,19.85,158.0,16.95
37,Mills High,San Mateo Union High,San Mateo,299,147,137.0,93.2,132.0,89.8,126.0,85.71
38,South San Francisco High,South San Francisco Unified,San Mateo,292,86,71.0,82.56,53.0,61.63,51.0,59.3
39,Granada High,Livermore Valley Joint Unified,Alameda,567,178,157.0,88.2,143.0,80.34,132.0,74.16
41,Magnolia Science Academy 2,Los Angeles County Office of Education,Los Angeles,41,17,10.0,58.82,6.0,35.29,6.0,35.29
44,Lowell High,San Francisco Unified,San Francisco,678,423,415.0,98.11,386.0,91.25,385.0,91.02
47,Tamalpais High,Tamalpais Union High,Marin,376,149,138.0,92.62,121.0,81.21,119.0,79.87
48,River Springs Charter,Riverside County Office of Education,Riverside,213,33,30.0,90.91,22.0,66.67,22.0,66.67
50,San Diego Business/Leadership,San Diego Unified,San Diego,100,18,8.0,44.44,2.0,11.11,1.0,5.56
51,Kearny Digital Media & Design,San Diego Unified,San Diego,86,25,20.0,80.0,11.0,44.0,11.0,44.0
52,Venture Academy,San Joaquin County Office of Education,San Joaquin,266,77,47.0,61.04,18.0,23.38,18.0,23.38
54,Heritage High,Liberty Union High,Contra Costa,574,244,212.0,86.89,158.0,64.75,156.0,63.93
55,Tranquillity High,Golden Plains Unified,Fresno,120,27,10.0,37.04,0.0,0.0,0.0,0.0
56,Sierra High,Sierra Unified,Fresno,91,28,26.0,92.86,15.0,53.57,15.0,53.57
58,Lakeside High,Lake Elsinore Unified,Riverside,387,112,68.0,60.71,41.0,36.61,36.0,32.14
59,Ruben S. Ayala High,Chino Valley Unified,San Bernardino,695,556,458.0,82.37,362.0,65.11,352.0,63.31
60,Buena Vista Continuation High,Chino Valley Unified,San Bernardino,118,79,6.0,7.59,0.0,0.0,0.0,0.0
61,Chino High,Chino Valley Unified,San Bernardino,432,354,174.0,49.15,84.0,23.73,77.0,21.75
63,Claremont High,Claremont Unified,Los Angeles,591,263,234.0,88.97,181.0,68.82,175.0,66.54
64,Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,Los Angeles,85,31,11.0,35.48,1.0,3.23,1.0,3.23
65,Los Banos High,Los Banos Unified,Merced,303,95,62.0,65.26,36.0,37.89,34.0,35.79
67,Arroyo Valley High,San Bernardino City Unified,San Bernardino,565,202,103.0,50.99,51.0,25.25,46.0,22.77
68,Middle College High,San Bernardino City Unified,San Bernardino,67,50,38.0,76.0,26.0,52.0,23.0,46.0
70,Bear Creek High,Lodi Unified,San Joaquin,450,173,125.0,72.25,109.0,63.01,100.0,57.8
72,Cesar E. Chavez Learning Academies-Arts/Theatre/Entertain Mag,Los Angeles Unified,Los Angeles,87,29,17.0,58.62,6.0,20.69,5.0,17.24
73,Torrance High,Torrance Unified,Los Angeles,509,218,182.0,83.49,132.0,60.55,127.0,58.26
74,El Capitan High,Merced Union High,Merced,373,142,91.0,64.08,46.0,32.39,44.0,30.99
75,Merced High,Merced Union High,Merced,400,110,78.0,70.91,47.0,42.73,43.0,39.09
76,El Camino Fundamental High,San Juan Unified,Sacramento,321,119,102.0,85.71,75.0,63.03,74.0,62.18
78,Point Loma High,San Diego Unified,San Diego,456,191,168.0,87.96,134.0,70.16,132.0,69.11
80,Alliance Gertz-Ressler Richard Merkin 6-12 Complex,Los Angeles Unified,Los Angeles,123,123,58.0,47.15,30.0,24.39,26.0,21.14
81,Port of Los Angeles High,Los Angeles Unified,Los Angeles,202,80,62.0,77.5,53.0,66.25,48.0,60.0
82,Chowchilla Union High,Chowchilla Union High,Madera,262,86,48.0,55.81,20.0,23.26,18.0,20.93
85,Colfax High,Placer Union High,Placer,125,51,41.0,80.39,30.0,58.82,28.0,54.9
86,Herbert Hoover High,Glendale Unified,Los Angeles,351,100,85.0,85.0,72.0,72.0,69.0,69.0
87,Compton High,Compton Unified,Los Angeles,354,65,25.0,38.46,9.0,13.85,9.0,13.85
89,Saddleback High,Santa Ana Unified,Orange,383,321,106.0,33.02,80.0,24.92,64.0,19.94
91,Hesperia High,Hesperia Unified,San Bernardino,445,108,58.0,53.7,21.0,19.44,16.0,14.81
92,La Costa Canyon High,San Dieguito Union High,San Diego,523,183,173.0,94.54,145.0,79.23,145.0,79.23
95,Etna Union High,Scott Valley Unified,Siskiyou,43,16,9.0,56.25,7.0,43.75,6.0,37.5
98,Alameda Community Learning Center,Alameda Unified,Alameda,31,21,20.0,95.24,11.0,52.38,10.0,47.62
99,Stockdale High,Kern High,Kern,550,242,201.0,83.06,151.0,62.4,143.0,59.09
101,La Serna High,Whittier Union High,Los Angeles,609,296,249.0,84.12,187.0,63.18,179.0,60.47
106,Silverado High,Victor Valley Union High,San Bernardino,546,114,63.0,55.26,22.0,19.3,22.0,19.3
107,Stagg Senior High,Stockton Unified,San Joaquin,368,73,38.0,52.05,17.0,23.29,15.0,20.55
108,Summit Public School: Rainier,East Side Union High,Santa Clara,105,49,43.0,87.76,23.0,46.94,22.0,44.9
109,Mountain House High,Lammersville Joint Unified,San Joaquin,283,132,114.0,86.36,82.0,62.12,80.0,60.61
110,Farmersville High,Farmersville Unified,Tulare,170,60,21.0,35.0,6.0,10.0,6.0,10.0
111,Aspire Langston Hughes Academy,Stockton Unified,San Joaquin,83,68,36.0,52.94,16.0,23.53,16.0,23.53
112,Fairfield High,Fairfield-Suisun Unified,Solano,304,60,35.0,58.33,15.0,25.0,14.0,23.33
113,Tulare Union High,Tulare Joint Union High,Tulare,382,130,77.0,59.23,67.0,51.54,58.0,44.62
115,Chula Vista Senior High,Sweetwater Union High,San Diego,672,209,141.0,67.46,65.0,31.1,64.0,30.62
117,Los Gatos High,Los Gatos-Saratoga Joint Union High,Santa Clara,544,204,198.0,97.06,183.0,89.71,182.0,89.22
118,Albany High,Albany City Unified,Alameda,296,114,107.0,93.86,97.0,85.09,96.0,84.21
122,Hueneme High,Oxnard Union High,Ventura,491,402,117.0,29.1,73.0,18.16,63.0,15.67
123,Modesto High,Modesto City High,Stanislaus,585,235,151.0,64.26,107.0,45.53,99.0,42.13
124,Santa Cruz High,Santa Cruz City High,Santa Cruz,268,112,97.0,86.61,88.0,78.57,84.0,75.0
128,Sonora High,Fullerton Joint Union High,Orange,410,163,140.0,85.89,106.0,65.03,103.0,63.19
129,Garden Grove High,Garden Grove Unified,Orange,569,215,175.0,81.4,131.0,60.93,127.0,59.07
131,Hiram W. Johnson High,Sacramento City Unified,Sacramento,364,55,26.0,47.27,16.0,29.09,14.0,25.45
132,Poway High,Poway Unified,San Diego,533,186,167.0,89.78,153.0,82.26,148.0,79.57
135,John H. Pitman High,Turlock Unified,Stanislaus,511,221,170.0,76.92,100.0,45.25,97.0,43.89
136,Taft Union High,Taft Union High,Kern,204,46,33.0,71.74,15.0,32.61,15.0,32.61
142,Options for Youth San Gabriel,San Gabriel Unified,Los Angeles,153,38,25.0,65.79,10.0,26.32,9.0,23.68
144,Mission San Jose High,Fremont Unified,Alameda,490,149,147.0,98.66,142.0,95.3,142.0,95.3
145,Liberty High,Liberty Union High,Contra Costa,610,203,163.0,80.3,115.0,56.65,109.0,53.69
146,Mendota High,Mendota Unified,Fresno,223,69,23.0,33.33,11.0,15.94,9.0,13.04
148,Los Alamitos High,Los Alamitos Unified,Orange,758,319,292.0,91.54,234.0,73.35,227.0,71.16
149,Temescal Canyon High,Lake Elsinore Unified,Riverside,496,238,161.0,67.65,110.0,46.22,102.0,42.86
150,Don Antonio Lugo High,Chino Valley Unified,San Bernardino,432,282,149.0,52.84,81.0,28.72,66.0,23.4
151,Pittsburg Senior High,Pittsburg Unified,Contra Costa,716,277,164.0,59.21,96.0,34.66,89.0,32.13
153,Anaheim High,Anaheim Union High,Orange,722,137,89.0,64.96,55.0,40.15,48.0,35.04
154,Rancho Verde High,Val Verde Unified,Riverside,505,471,223.0,47.35,101.0,21.44,94.0,19.96
155,Jurupa Hills High,Fontana Unified,San Bernardino,466,138,81.0,58.7,45.0,32.61,41.0,29.71
156,LPS Oakland R & D Campus,Oakland Unified,Alameda,111,42,16.0,38.1,7.0,16.67,7.0,16.67
158,Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,Los Angeles,47,36,8.0,22.22,7.0,19.44,5.0,13.89
159,Blair High,Pasadena Unified,Los Angeles,156,64,44.0,68.75,28.0,43.75,27.0,42.19
160,Pasadena High,Pasadena Unified,Los Angeles,414,202,144.0,71.29,103.0,50.99,95.0,47.03
162,Redlands East Valley High,Redlands Unified,San Bernardino,545,376,271.0,72.07,201.0,53.46,194.0,51.6
163,Grove,Redlands Unified,San Bernardino,31,19,16.0,84.21,14.0,73.68,13.0,68.42
164,Ramona High,Ramona City Unified,San Diego,352,113,91.0,80.53,70.0,61.95,66.0,58.41
167,Palos Verdes Peninsula High,Palos Verdes Peninsula Unified,Los Angeles,609,260,249.0,95.77,228.0,87.69,225.0,86.54
168,San Marin High,Novato Unified,Marin,266,110,102.0,92.73,78.0,70.91,78.0,70.91
169,Twentynine Palms High,Morongo Unified,San Bernardino,172,29,26.0,89.66,13.0,44.83,13.0,44.83
170,KIPP San Francisco College Preparatory,San Francisco Unified,San Francisco,53,23,14.0,60.87,8.0,34.78,7.0,30.43
172,Clovis West High,Clovis Unified,Fresno,486,173,154.0,89.02,124.0,71.68,121.0,69.94
173,Downey High,Downey Unified,Los Angeles,1050,396,285.0,71.97,196.0,49.49,184.0,46.46
174,Rancho Dominguez Preparatory,Los Angeles Unified,Los Angeles,129,40,16.0,40.0,9.0,22.5,7.0,17.5
175,Animo College Preparatory Academy,Los Angeles Unified,Los Angeles,128,52,15.0,28.85,8.0,15.38,7.0,13.46
176,Livingston High,Merced Union High,Merced,291,91,57.0,62.64,31.0,34.07,30.0,32.97
179,Charter School of San Diego,San Diego Unified,San Diego,499,23,18.0,78.26,10.0,43.48,10.0,43.48
180,Weston Ranch High,Manteca Unified,San Joaquin,285,104,71.0,68.27,36.0,34.62,35.0,33.65
181,Bret Harte Union High,Bret Harte Union High,Calaveras,152,46,42.0,91.3,29.0,63.04,29.0,63.04
182,Pierce High,Pierce Joint Unified,Colusa,103,21,11.0,52.38,3.0,14.29,3.0,14.29
183,North Monterey County High,North Monterey County Unified,Monterey,297,110,63.0,57.27,30.0,27.27,30.0,27.27
185,Morro Bay High,San Luis Coastal Unified,San Luis Obispo,197,49,46.0,93.88,37.0,75.51,37.0,75.51
187,Minarets High,Chawanakee Unified,Madera,36,20,13.0,65.0,7.0,35.0,7.0,35.0
190,Sheldon High,Elk Grove Unified,Sacramento,614,217,170.0,78.34,115.0,53.0,111.0,51.15
192,Orange Glen High,Escondido Union High,San Diego,497,127,83.0,65.35,40.0,31.5,38.0,29.92
193,Steele Canyon High,Grossmont Union High,San Diego,511,219,188.0,85.84,152.0,69.41,142.0,64.84
196,Fountain Valley High,Huntington Beach Union High,Orange,805,335,307.0,91.64,283.0,84.48,270.0,80.6
197,Indio High,Desert Sands Unified,Riverside,517,174,82.0,47.13,23.0,13.22,23.0,13.22
198,Buchanan High,Clovis Unified,Fresno,667,299,268.0,89.63,193.0,64.55,189.0,63.21
199,California Virtual Academy @ Los Angeles,West Covina Unified,Los Angeles,329,22,17.0,77.27,7.0,31.82,7.0,31.82
202,Leigh High,Campbell Union High,Santa Clara,415,165,153.0,92.73,129.0,78.18,127.0,76.97
206,Winters High,Winters Joint Unified,Yolo,102,31,24.0,77.42,16.0,51.61,16.0,51.61
209,Durham High,Durham Unified,Butte,72,31,30.0,96.77,21.0,67.74,21.0,67.74
211,TEACH Tech Charter High,Los Angeles Unified,Los Angeles,70,46,10.0,21.74,7.0,15.22,6.0,13.04
212,Canyon Springs High,Moreno Valley Unified,Riverside,494,439,193.0,43.96,80.0,18.22,75.0,17.08
213,KIPP San Jose Collegiate,East Side Union High,Santa Clara,112,46,36.0,78.26,27.0,58.7,26.0,56.52
214,Luis Valdez Leadership Academy,East Side Union High,Santa Clara,102,34,8.0,23.53,3.0,8.82,3.0,8.82
216,Evergreen Valley High,East Side Union High,Santa Clara,712,344,316.0,91.86,295.0,85.76,287.0,83.43
217,Redwood High,Visalia Unified,Tulare,494,142,116.0,81.69,79.0,55.63,77.0,54.23
219,Collegiate Charter High of Los Angeles,Los Angeles Unified,Los Angeles,34,34,21.0,61.76,15.0,44.12,14.0,41.18
220,Valley High,Santa Ana Unified,Orange,466,407,103.0,25.31,49.0,12.04,39.0,9.58
223,Torrey Pines High,San Dieguito Union High,San Diego,627,175,167.0,95.43,155.0,88.57,151.0,86.29
224,Templeton High,Templeton Unified,San Luis Obispo,171,52,47.0,90.38,32.0,61.54,32.0,61.54
227,Montgomery Senior High,Sweetwater Union High,San Diego,452,121,73.0,60.33,42.0,34.71,39.0,32.23
228,Mission Vista High,Vista Unified,San Diego,391,182,155.0,85.16,130.0,71.43,124.0,68.13
230,Sonoma Valley High,Sonoma Valley Unified,Sonoma,279,91,71.0,78.02,53.0,58.24,50.0,54.95
231,Jordan High,Long Beach Unified,Los Angeles,606,463,113.0,24.41,52.0,11.23,44.0,9.5
233,Mira Costa High,Manhattan Beach Unified,Los Angeles,594,205,202.0,98.54,179.0,87.32,179.0,87.32
234,Murrieta Mesa High,Murrieta Valley Unified,Riverside,574,225,173.0,76.89,125.0,55.56,120.0,53.33
236,Gunderson High,San Jose Unified,Santa Clara,246,49,43.0,87.76,31.0,63.27,31.0,63.27
237,Ventura High,Ventura Unified,Ventura,480,119,104.0,87.39,77.0,64.71,76.0,63.87
238,Burton (Phillip and Sala) Academic High,San Francisco Unified,San Francisco,248,140,74.0,52.86,51.0,36.43,41.0,29.29
240,Burroughs High,Burbank Unified,Los Angeles,584,291,245.0,84.19,206.0,70.79,195.0,67.01
245,Inspire School of Arts and Sciences,Chico Unified,Butte,94,22,21.0,95.45,17.0,77.27,17.0,77.27
249,Design Science Middle College High,Fresno Unified,Fresno,63,60,52.0,86.67,35.0,58.33,32.0,53.33
251,South High,Kern High,Kern,508,152,76.0,50.0,45.0,29.61,37.0,24.34
252,West High,Kern High,Kern,537,122,63.0,51.64,34.0,27.87,31.0,25.41
254,Vaughn Next Century Learning Center,Los Angeles Unified,Los Angeles,157,102,50.0,49.02,23.0,22.55,22.0,21.57
255,Saugus High,William S. Hart Union High,Los Angeles,546,202,181.0,89.6,144.0,71.29,139.0,68.81
256,Academy of the Canyons,William S. Hart Union High,Los Angeles,104,51,48.0,94.12,43.0,84.31,43.0,84.31
260,Lighthouse Community Charter High,Oakland Unified,Alameda,64,43,25.0,58.14,14.0,32.56,13.0,30.23
261,Central Union High,Central Union High,Imperial,403,91,64.0,70.33,40.0,43.96,38.0,41.76
263,Sun Valley High,Los Angeles Unified,Los Angeles,85,54,10.0,18.52,1.0,1.85,0.0,0.0
267,Deer Valley High,Antioch Unified,Contra Costa,533,118,84.0,71.19,67.0,56.78,59.0,50.0
270,Kelseyville High,Kelseyville Unified,Lake,124,45,31.0,68.89,14.0,31.11,14.0,31.11
271,Lower Lake High,Konocti Unified,Lake,121,33,24.0,72.73,7.0,21.21,7.0,21.21
272,William & Marian Ghidotti High,Nevada Joint Union High,Nevada,45,32,32.0,100.0,32.0,100.0,32.0,100.0
273,Irvine High,Irvine Unified,Orange,533,168,156.0,92.86,152.0,90.48,144.0,85.71
274,Chaparral High,Temecula Valley Unified,Riverside,722,287,237.0,82.58,167.0,58.19,161.0,56.1
276,Chula Vista Learning Community Charter,Chula Vista Elementary,San Diego,99,74,58.0,78.38,20.0,27.03,20.0,27.03
280,Desert Junior-Senior High,Muroc Joint Unified,Kern,84,30,28.0,93.33,19.0,63.33,18.0,60.0
281,Crescenta Valley High,Glendale Unified,Los Angeles,631,266,253.0,95.11,233.0,87.59,228.0,85.71
283,Marina High,Monterey Peninsula Unified,Monterey,145,78,58.0,74.36,32.0,41.03,31.0,39.74
286,City Honors College Preparatory Academy,Inglewood Unified,Los Angeles,95,47,24.0,51.06,10.0,21.28,10.0,21.28
289,La Puente High,Hacienda la Puente Unified,Los Angeles,254,193,83.0,43.01,47.0,24.35,42.0,21.76
290,William Workman High,Hacienda la Puente Unified,Los Angeles,229,206,76.0,36.89,39.0,18.93,32.0,15.53
291,Paloma Valley High,Perris Union High,Riverside,717,256,185.0,72.27,111.0,43.36,102.0,39.84
293,Reedley Middle College High,Kings Canyon Joint Unified,Fresno,34,22,12.0,54.55,7.0,31.82,6.0,27.27
294,La Canada High,La Canada Unified,Los Angeles,346,170,163.0,95.88,158.0,92.94,156.0,91.76
300,John F. Kennedy High,Fremont Unified,Alameda,310,124,99.0,79.84,71.0,57.26,68.0,54.84
302,Lassen High,Lassen Union High,Lassen,188,40,32.0,80.0,17.0,42.5,16.0,40.0
303,Da Vinci Design,Wiseburn Unified,Los Angeles,164,47,33.0,70.21,11.0,23.4,10.0,21.28
305,Leadership Public Schools - Hayward,Hayward Unified,Alameda,140,106,70.0,66.04,56.0,52.83,51.0,48.11
307,Fortuna Union High,Fortuna Union High,Humboldt,183,56,41.0,73.21,29.0,51.79,27.0,48.21
308,Animo South Los Angeles Charter,Los Angeles Unified,Los Angeles,133,42,15.0,35.71,7.0,16.67,6.0,14.29
311,High Tech High Chula Vista,SBC - High Tech High,San Diego,147,91,59.0,64.84,20.0,21.98,19.0,20.88
313,Skyline High,Oakland Unified,Alameda,398,138,86.0,62.32,46.0,33.33,43.0,31.16
315,Fort Bragg High,Fort Bragg Unified,Mendocino,107,30,27.0,90.0,18.0,60.0,18.0,60.0
316,Bolsa Grande High,Garden Grove Unified,Orange,477,245,185.0,75.51,142.0,57.96,130.0,53.06
317,C. K. McClatchy High,Sacramento City Unified,Sacramento,504,113,92.0,81.42,68.0,60.18,64.0,56.64
318,San Leandro High,San Leandro Unified,Alameda,662,193,138.0,71.5,83.0,43.01,77.0,39.9
319,East Los Angeles Renaissance Academy at Esteban E. Torres High No. 2,Los Angeles Unified,Los Angeles,94,41,11.0,26.83,2.0,4.88,2.0,4.88
320,Alliance Susan and Eric Smidt Technology High,Los Angeles Unified,Los Angeles,137,135,39.0,28.89,21.0,15.56,18.0,13.33
321,South Pasadena Senior High,South Pasadena Unified,Los Angeles,369,181,175.0,96.69,160.0,88.4,159.0,87.85
322,La Quinta High,Desert Sands Unified,Riverside,618,252,193.0,76.59,107.0,42.46,102.0,40.48
327,De Anza High,West Contra Costa Unified,Contra Costa,332,291,111.0,38.14,53.0,18.21,46.0,15.81
328,Highland High,Antelope Valley Union High,Los Angeles,691,161,114.0,70.81,62.0,38.51,57.0,35.4
330,Azusa High,Azusa Unified,Los Angeles,291,95,64.0,67.37,37.0,38.95,34.0,35.79
331,Larchmont Charter,Los Angeles Unified,Los Angeles,112,67,58.0,86.57,39.0,58.21,37.0,55.22
340,Hanford High,Hanford Joint Union High,Kings,335,79,52.0,65.82,30.0,37.97,26.0,32.91
341,John H. Francis Polytechnic,Los Angeles Unified,Los Angeles,675,254,143.0,56.3,98.0,38.58,83.0,32.68
342,King/Drew Medical Magnet High,Los Angeles Unified,Los Angeles,334,192,133.0,69.27,63.0,32.81,61.0,31.77
343,Abraham Lincoln Senior High,Los Angeles Unified,Los Angeles,226,127,65.0,51.18,43.0,33.86,39.0,30.71
344,Gabrielino High,San Gabriel Unified,Los Angeles,433,204,172.0,84.31,163.0,79.9,146.0,71.57
345,Options for Youth-Acton,Acton-Agua Dulce Unified,Los Angeles,165,38,17.0,44.74,5.0,13.16,3.0,7.89
346,Calistoga Junior-Senior High,Calistoga Joint Unified,Napa,45,16,8.0,50.0,3.0,18.75,3.0,18.75
347,Foothill High,Pleasanton Unified,Alameda,498,179,173.0,96.65,153.0,85.47,151.0,84.36
348,Augustus F. Hawkins High A Critical Design and Gaming,Los Angeles Unified,Los Angeles,121,50,14.0,28.0,6.0,12.0,4.0,8.0
349,"Science, Technology, Engineering, Arts and Mathematics at Legacy High School Complex",Los Angeles Unified,Los Angeles,138,78,40.0,51.28,26.0,33.33,23.0,29.49
350,Villa Park High,Orange Unified,Orange,584,489,313.0,64.01,218.0,44.58,207.0,42.33
351,Rubidoux High,Jurupa Unified,Riverside,350,113,58.0,51.33,27.0,23.89,27.0,23.89
355,Patriot High,Jurupa Unified,Riverside,539,201,132.0,65.67,80.0,39.8,76.0,37.81
356,Hoover High,San Diego Unified,San Diego,489,201,98.0,48.76,61.0,30.35,53.0,26.37
357,Madison High,San Diego Unified,San Diego,221,82,53.0,64.63,22.0,26.83,21.0,25.61
358,University Preparatory High,Tulare County Office of Education,Tulare,50,26,22.0,84.62,16.0,61.54,16.0,61.54
361,Oak Grove High,East Side Union High,Santa Clara,399,148,100.0,67.57,77.0,52.03,66.0,44.59
362,Silver Creek High,East Side Union High,Santa Clara,592,268,221.0,82.46,192.0,71.64,181.0,67.54
363,Arroyo Grande High,Lucia Mar Unified,San Luis Obispo,503,131,117.0,89.31,83.0,63.36,83.0,63.36
364,Monta Vista High,Fremont Union High,Santa Clara,584,197,193.0,97.97,195.0,98.98,191.0,96.95
366,Montgomery High,Santa Rosa High,Sonoma,354,98,80.0,81.63,61.0,62.24,60.0,61.22
367,Santa Clara High,Santa Clara Unified,Santa Clara,430,171,139.0,81.29,105.0,61.4,101.0,59.06
369,Half Moon Bay High,Cabrillo Unified,San Mateo,223,77,60.0,77.92,44.0,57.14,44.0,57.14
373,James C. Enochs High,Modesto City High,Stanislaus,577,199,161.0,80.9,108.0,54.27,103.0,51.76
374,Oak Park High,Oak Park Unified,Ventura,377,155,150.0,96.77,139.0,89.68,138.0,89.03
377,Orestimba High,Newman-Crows Landing Unified,Stanislaus,216,66,44.0,66.67,23.0,34.85,21.0,31.82
378,Linden High,Linden Unified,San Joaquin,151,33,26.0,78.79,14.0,42.42,14.0,42.42
380,University Preparatory,Shasta Union High,Shasta,127,72,68.0,94.44,63.0,87.5,61.0,84.72
381,Shasta High,Shasta Union High,Shasta,328,69,64.0,92.75,56.0,81.16,56.0,81.16
383,Ygnacio Valley High,Mt. Diablo Unified,Contra Costa,271,85,52.0,61.18,30.0,35.29,28.0,32.94
384,ICEF View Park Preparatory High,Los Angeles Unified,Los Angeles,120,73,27.0,36.99,7.0,9.59,6.0,8.22
385,Monterey Trail High,Elk Grove Unified,Sacramento,583,245,175.0,71.43,111.0,45.31,99.0,40.41
386,Helix High,Grossmont Union High,San Diego,578,238,187.0,78.57,158.0,66.39,148.0,62.18
387,Santana High,Grossmont Union High,San Diego,420,112,87.0,77.68,76.0,67.86,67.0,59.82
388,Da Vinci Charter Academy,Davis Joint Unified,Yolo,88,38,36.0,94.74,30.0,78.95,30.0,78.95
389,Dougherty Valley High,San Ramon Valley Unified,Contra Costa,766,270,262.0,97.04,248.0,91.85,244.0,90.37
392,Panorama High,Los Angeles Unified,Los Angeles,269,142,44.0,30.99,17.0,11.97,10.0,7.04
393,Terra Linda High,San Rafael City High,Marin,300,126,102.0,80.95,71.0,56.35,71.0,56.35
395,Sacramento Charter High,Sacramento City Unified,Sacramento,151,85,32.0,37.65,16.0,18.82,13.0,15.29
396,Crawford High,San Diego Unified,San Diego,218,168,41.0,24.4,23.0,13.69,20.0,11.9
397,Turlock High,Turlock Unified,Stanislaus,543,171,129.0,75.44,87.0,50.88,81.0,47.37
398,Artesia High,ABC Unified,Los Angeles,344,95,61.0,64.21,38.0,40.0,33.0,34.74
399,CATCH Prep Charter High Inc.,Los Angeles Unified,Los Angeles,37,33,13.0,39.39,3.0,9.09,2.0,6.06
400,Madera High,Madera Unified,Madera,467,71,48.0,67.61,26.0,36.62,25.0,35.21
401,Oxford Academy,Anaheim Union High,Orange,200,113,113.0,100.0,106.0,93.81,106.0,93.81
402,Katella High,Anaheim Union High,Orange,651,199,108.0,54.27,43.0,21.61,42.0,21.11
403,Loara High,Anaheim Union High,Orange,482,129,83.0,64.34,50.0,38.76,47.0,36.43
404,Savanna High,Anaheim Union High,Orange,482,114,76.0,66.67,53.0,46.49,50.0,43.86
405,Brea-Olinda High,Brea-Olinda Unified,Orange,476,203,186.0,91.63,153.0,75.37,147.0,72.41
406,Del Oro High,Placer Union High,Placer,410,165,142.0,86.06,119.0,72.12,115.0,69.7
408,Hercules High,West Contra Costa Unified,Contra Costa,219,208,125.0,60.1,79.0,37.98,76.0,36.54
409,Richmond High,West Contra Costa Unified,Contra Costa,386,322,97.0,30.12,48.0,14.91,40.0,12.42
410,Eastside High,Antelope Valley Union High,Los Angeles,562,185,104.0,56.22,18.0,9.73,18.0,9.73
411,SOAR High (Students On Academic Rise),Antelope Valley Union High,Los Angeles,86,66,58.0,87.88,44.0,66.67,42.0,63.64
413,Gladstone High,Azusa Unified,Los Angeles,266,91,65.0,71.43,38.0,41.76,38.0,41.76
414,Maywood Academy High,Los Angeles Unified,Los Angeles,249,109,41.0,37.61,10.0,9.17,9.0,8.26
415,Palos Verdes High,Palos Verdes Peninsula Unified,Los Angeles,451,179,167.0,93.3,143.0,79.89,140.0,78.21
416,Buena Vista High,Paramount Unified,Los Angeles,142,68,2.0,2.94,0.0,0.0,0.0,0.0
420,Augustus F. Hawkins High B Community Health Advocates,Los Angeles Unified,Los Angeles,93,40,8.0,20.0,0.0,0.0,0.0,0.0
421,Dos Palos High,Dos Palos Oro Loma Joint Unified,Merced,159,43,22.0,51.16,9.0,20.93,7.0,16.28
