,sname,dname,cname,enroll12,numtsttakr12,numerwbenchmark12,pcterwbenchmark12,nummathbenchmark12,pctmathbenchmark12,totnumbothbenchmark12,pctbothbenchmark12
1625,Contreras Learning Center-School of Social Justice,Los Angeles Unified,Los Angeles,90,92,20.0,21.74,9.0,9.78,8.0,8.7
1626,California High,Whittier Union High,Los Angeles,670,280,186.0,66.43,116.0,41.43,104.0,37.14
1628,Yorba Linda High,Placentia-Yorba Linda Unified,Orange,448,214,190.0,88.79,172.0,80.37,167.0,78.04
1629,Esperanza High,Placentia-Yorba Linda Unified,Orange,355,124,105.0,84.68,98.0,79.03,96.0,77.42
1631,Bishop Union High,Bishop Unified,Inyo,133,53,41.0,77.36,29.0,54.72,27.0,50.94
1632,Village Academy High School at Indian Hill,Pomona Unified,Los Angeles,74,31,16.0,51.61,4.0,12.9,4.0,12.9
1635,West Campus,Sacramento City Unified,Sacramento,194,77,69.0,89.61,54.0,70.13,51.0,66.23
1636,Luther Burbank High,Sacramento City Unified,Sacramento,449,123,54.0,43.9,30.0,24.39,27.0,21.95
1638,Aspire Benjamin Holt College Preparatory Academy,Lodi Unified,San Joaquin,94,74,63.0,85.14,44.0,59.46,44.0,59.46
1640,El Dorado High,El Dorado Union High,El Dorado,235,61,51.0,83.61,37.0,60.66,36.0,59.02
1641,Fairvalley High (Continuation),Covina-Valley Unified,Los Angeles,64,44,7.0,15.91,0.0,0.0,0.0,0.0
1642,Covina High,Covina-Valley Unified,Los Angeles,270,260,123.0,47.31,62.0,23.85,59.0,22.69
1643,Hilmar High,Hilmar Unified,Merced,154,46,29.0,63.04,16.0,34.78,16.0,34.78
1644,Marina High,Huntington Beach Union High,Orange,622,196,180.0,91.84,152.0,77.55,148.0,75.51
1645,Westminster High,Huntington Beach Union High,Orange,628,231,172.0,74.46,154.0,66.67,136.0,58.87
1647,Summit Public School: Tahoma,Santa Clara County Office of Education,Santa Clara,96,54,42.0,77.78,29.0,53.7,27.0,50.0
1651,Excelsior Charter,San Bernardino County Office of Education,San Bernardino,279,77,56.0,72.73,24.0,31.17,22.0,28.57
1654,Da Vinci Communications,Wiseburn Unified,Los Angeles,94,37,17.0,45.95,5.0,13.51,5.0,13.51
1655,Chaffey High,Chaffey Joint Union High,San Bernardino,782,328,168.0,51.22,67.0,20.43,61.0,18.6
1656,Mueller Charter (Robert L.),Chula Vista Elementary,San Diego,86,38,25.0,65.79,11.0,28.95,10.0,26.32
1659,Culver City High,Culver City Unified,Los Angeles,526,222,186.0,83.78,120.0,54.05,118.0,53.15
1661,Tahquitz High,Hemet Unified,Riverside,386,282,127.0,45.04,58.0,20.57,53.0,18.79
1662,Serra High,San Diego Unified,San Diego,369,151,120.0,79.47,90.0,59.6,86.0,56.95
1664,East Union High,Manteca Unified,San Joaquin,392,113,82.0,72.57,48.0,42.48,45.0,39.82
1666,Dublin High,Dublin Unified,Alameda,622,271,255.0,94.1,214.0,78.97,212.0,78.23
1669,California Connections Academy @ Ripon,Ripon Unified,San Joaquin,206,22,21.0,95.45,11.0,50.0,11.0,50.0
1671,Berkeley High,Berkeley Unified,Alameda,715,292,265.0,90.75,221.0,75.68,218.0,74.66
1672,Hanford West High,Hanford Joint Union High,Kings,301,66,45.0,68.18,25.0,37.88,24.0,36.36
1673,Granada Hills Charter High,Los Angeles Unified,Los Angeles,1120,531,475.0,89.45,390.0,73.45,377.0,71.0
